"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"89183164","鑫富泉有限公司","臺北市中山區錦州街159號2樓之5","50000"," "," ","1111118","臺北市中山區錦州街１５９號２樓之５","471915,481013,485111,681112","26-MAR-26","","","","",""
"89211318","清誠營造股份有限公司","臺北市中正區仁愛路2段6之1號","27500000","27500000"," ","0830722","臺北市中正區文北里仁愛路２段６－１號","429099,060014,461214,","26-MAR-26","","","","",""
"89227830","大信開發事業股份有限公司","臺北市內湖區康樂街72巷17弄5號","25000000","25000000"," ","0830803","臺北市內湖區東湖里康樂街７２巷１７弄５號","670012,,,","26-MAR-26","","","","",""
"89321602","豐鼎光波奈米科技股份有限公司","臺北市中山區林森北路554號5樓","500000000","335043550"," ","0840208","臺北市中山區恆安里林森北路５５４號５樓","281099,234099,461311,432000","26-MAR-26","1819","14","2026-03-25 00:00:00.0","AVSAR,SUNNYWIN,","2024-11-27"
"89479336","翁一生技開發有限公司","臺北市中正區忠孝西路1段72號7樓之6","20000000"," "," ","0840706","臺北市中正區黎明里忠孝西路１段７２號７樓之６","451099,969011,457299,","26-MAR-26","","","","翁一,ABA,","2024-11-27"
"89546932","彩城營造有限公司","臺北市信義區永吉路181號6樓之1","78000000"," "," ","0840609","臺北市信義區五常里５鄰永吉路１８１號６樓之１","429099,410099,,","26-MAR-26","","","","",""
"89607901","安格斯實業股份有限公司","臺北市松山區八德路3段129號3樓","5000000","5000000"," ","0840916","臺北市松山區復勢里八德路３段１２９號３樓","456612,451099,,","26-MAR-26","","","","",""
"89948133","新陽工程顧問股份有限公司","臺北市中正區鎮江街3號2樓","20000000","20000000"," ","0831209","臺北市中正區鎮江街３號２樓","712100,461214,711299,","26-MAR-26","","","","",""
"89964724","英暉機械工程有限公司","臺北市文山區興隆路2段220巷47號1樓","2000000"," "," ","0840125","臺北市文山區興業里興隆路二段２２０巷４７號１樓","432000,469925,439014,461599","26-MAR-26","","","","",""
"90023139","周邑建設事業股份有限公司","臺北市中正區懷寧街92號3樓","1000000","1000000"," ","1111003","臺北市中正區黎明里懷寧街９２號３樓","434011,439099,,","26-MAR-26","","","","",""
