"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"80279961","瑞豐科技有限公司","臺北市士林區承德路4段80巷8之1號2樓","10000000"," "," ","0910926","臺北市士林區承德里承德路４段８０巷８─１號２樓","461515,433900,,","26-MAR-26","","","","",""
"80283629","尚凡國際創新科技股份有限公司","臺北市大安區羅斯福路3段37號5樓","600000000","300000000"," ","0911007","臺北市大安區古莊里羅斯福路三段３７號５樓","620111,631299,731011,","26-MAR-26","5278","36","2026-03-25 00:00:00.0","KOALA FOREST,KOOL,I-PART,MAYFUN,愛情公寓,IPAIR,I-PARTMENT,美房網,IPARTMENT,KOFO,I-PAIR,","2024-11-27"
"80291769","京揚工程科技股份有限公司","臺北市大安區忠孝東路4段319號11樓之1","23700000","23700000"," ","0911031","臺北市大安區華聲里忠孝東路４段３１９號１１樓之１","711299,340099,712999,","26-MAR-26","","","","",""
"80297601","全殷建設股份有限公司","臺北市大安區忠孝東路3段249號5樓","35000000","35000000"," ","0911119","臺北市大安區誠安里忠孝東路３段２４９號５樓","670012,702099,,","26-MAR-26","","","","",""
"80302576","大地再造股份有限公司","臺北市大同區哈密街107之1號1樓","10000000","10000000"," ","0911204","臺北市大同區保安里哈密街１０７─１號１樓","702099,464922,,","26-MAR-26","","","","",""
"80384443","漢威精密科技股份有限公司","臺北市大安區羅斯福路3段281號6樓之1","10000000","10000000"," ","0930527","臺北市大安區大學里羅斯福路３段２８１號６樓之１","433199,,,","26-MAR-26","","","","",""
"80406684","中華安清國際開發有限公司","臺北市中山區松江路18號3樓之2","10000000"," "," ","0920528","臺北市中山區興亞里松江路１８號３樓之２","464913,681111,461517,","26-MAR-26","","","","",""
"80449826","宏銘電機企業有限公司","臺北市大同區承德路3段108巷4號4樓","3000000"," "," ","0920728","臺北市大同區斯文里承德路３段１０８巷４號４樓","283100,283299,,","26-MAR-26","","","","",""
"80471328","欣榮營造有限公司","臺北市大安區永康街14巷12號1樓","22500000"," "," ","0920826","臺北市大安區永康里永康街１４巷１２號１樓","410013,760999,,","26-MAR-26","","","","",""
"80491979","金鼎室內裝修設計工程有限公司","臺北市內湖區潭美街588號1樓","10000000"," "," ","0920703","臺北市內湖區蘆洲里潭美街５８８號","451099,434011,464211,","26-MAR-26","","","","",""
"80504284","渲洋國際室內裝修設計股份有限公司","臺北市中山區民權西路35號10樓","13000000","10000000"," ","0920801","臺北市中山區集英里民權西路３５號１０樓","434011,434013,434015,702099","26-MAR-26","","","","",""
"80509653","瀚昇國際開發有限公司","臺北市士林區仰德大道1段6巷86號1樓","31000000"," "," ","0920819","臺北市士林區臨溪里仰德大道１段６巷８６號１樓","681111,485299,,","26-MAR-26","","","","",""
"80517513","永承電能科技股份有限公司","臺北市大安區忠孝東路4段2號5樓之3","15000000","15000000"," ","0920909","臺北市大安區仁愛里忠孝東路４段２號５樓之３","433115,434013,434011,434013","26-MAR-26","","","","",""
"80521137","喜美樂股份有限公司","臺北市大安區忠孝東路3段100號9樓","3000000","3000000"," ","0920922","臺北市大安區民輝里忠孝東路３段１００號９樓","483112,781099,181014,","26-MAR-26","","","","NOVON,","2024-11-27"
"80534999","迪泰威科技有限公司","臺北市內湖區瑞光路478巷18弄20號6樓","30000000"," "," ","0921030","臺北市內湖區西湖里瑞光路４７８巷１８弄２０號６樓","456199,,,","26-MAR-26","","","","",""
"80546685","憶梅有限公司","臺北市信義區永吉路326巷19號3樓","2000000"," "," ","0921127","臺北市信義區四維里永吉路３２６巷１９號３樓","351000,011699,,","26-MAR-26","","","","",""
"80566295","台固通綠能科技股份有限公司","臺北市大安區忠孝東路3段217巷7弄7號3樓之1","50000000","8000000"," ","0921015","臺北市大安區昌隆里忠孝東路３段２１７巷７弄７號３樓之１","461400,464211,464999,461400","26-MAR-26","","","","VERLITE,","2024-11-27"
"80641766","世紀明光有限公司","臺北市北投區吉利街259巷52號1樓","500000"," "," ","0930128","臺北市北投區立農里吉利街２５９巷５２號","464914,464917,,","26-MAR-26","","","","",""
"80652806","南亞光電股份有限公司","臺北市松山區民生東路4段54號6樓之12","2500000000","460901700"," ","0921215","臺北市松山區精忠里民生東路４段５４號６樓之１２","464211,269999,281099,451099","26-MAR-26","","","","NYPI,南亞,","2024-11-27"
"80654190","全心科技股份有限公司","臺北市信義區基隆路1段155號10樓","96000000","96000000"," ","0921217","臺北市信義區興雅里基隆路１段１５５號１０樓","670012,681112,,","26-MAR-26","","","","",""
"80659456","紅鷹國際行銷股份有限公司","臺北市萬華區長沙街2段56之1號6樓","20000000","5500000"," ","0921230","臺北市萬華區新起里長沙街２段５６─１號６樓","452000,457299,464211,","26-MAR-26","","","","",""
"80662500","大發電力系統設備股份有限公司","臺北市萬華區長沙街2段56之1號6樓","21000000","6000000"," ","0930109","臺北市萬華區新起里長沙街２段５６─１號６樓","281099,464913,451099,","26-MAR-26","","","","",""
"80667982","日揚開發股份有限公司","臺北市中山區中山北路3段30號3樓之3","25000000","25000000"," ","0930202","臺北市中山區集英里中山北路３段３０號３樓之３","451099,452000,455211,340099","26-MAR-26","","","","",""
"80676820","理化股份有限公司","臺北市信義區基隆路2段109號6樓之2","10000000","10000000"," ","0930227","臺北市信義區嘉興里基隆路２段１０９號６樓之２","464211,474917,462017,462099","26-MAR-26","","","","",""
"80678025","廣維數位股份有限公司","臺北市大安區敦化南路1段313號6樓之1","49500000","49500000"," ","0930302","臺北市大安區敦安里敦化南路１段３１３號６樓之１","451099,464999,,","26-MAR-26","","","","",""
"80685546","永順開發煤氣有限公司","臺北市士林區社子街63巷16號1樓","1000000"," "," ","0930319","臺北市士林區社新里社子街６３巷１６號１樓","474912,,,","26-MAR-26","","","","",""
"80688564","北美能源有限公司","臺北市中正區中華路2段311巷30號","10000000"," "," ","0930325","臺北市中正區忠勤里中華路２段３１１巷３０號","482113,474912,,","26-MAR-26","","","","",""
"80698562","晃朗工程有限公司","臺北市松山區塔悠路235號","25000000"," "," ","0930419","臺北市松山區新東里塔悠路２３５號","433211,,,","26-MAR-26","","","","",""
"82786247","鉅田潔淨技術股份有限公司","臺北市中山區南京東路3段19號5樓","30000000","22000000"," ","1071116","臺北市中山區復華里南京東路３段１９號５樓","456700,462099,456399,451099","26-MAR-26","","","","RENOUVO,PLANTECH,JCPFM,植,","2024-11-27"
"82797053","以諾工程技術顧問有限公司","臺北市南港區園區街3號10樓之2","38000000"," "," ","1080108","臺北市南港區三重里園區街３號１０樓之２","711299,433117,760999,433199","26-MAR-26","","","","",""
"82797455","台灣捷熱能源股份有限公司","臺北市信義區松仁路32號9樓","50000000","50000000"," ","1080109","臺北市信義區西村里松仁路３２號９樓","702099,,,","26-MAR-26","","","","",""
"82798638","謙毅曼科技股份有限公司","臺北市文山區興隆路1段101號3樓","50000","50000"," ","1080114","臺北市文山區萬盛里興隆路１段１０１號３樓","433199,,,","26-MAR-26","","","","",""
"82798665","謙毅曼光能有限公司","臺北市文山區興隆路1段101號3樓","100000"," "," ","1080114","臺北市文山區萬盛里興隆路１段１０１號３樓","433199,,,","26-MAR-26","","","","",""
"82801471","日安好有限公司","臺北市南港區成福路47號1樓","100000"," "," ","1080130","臺北市南港區成福里成福路４７號１樓","091900,089999,454611,","26-MAR-26","","","","",""
"82802302","瀚鑫能源有限公司","臺北市中正區中山北路1段2號4樓之2","22000000"," "," ","1080131","臺北市中正區黎明里中山北路１段２號４樓之２","281099,261113,,","26-MAR-26","","","","",""
"82802746","展碩水電有限公司","臺北市大同區承德路3段208巷49號","1000000"," "," ","1080201","臺北市大同區至聖里承德路三段２０８巷４９號","433111,,,","26-MAR-26","","","","",""
"82806763","沛展國際有限公司","臺北市松山區南京東路4段133巷5弄26號1樓","15000000"," "," ","1080214","臺北市松山區東勢里南京東路４段１３３巷５弄２６號１樓","462017,462099,464211,","26-MAR-26","","","","",""
"82806784","凱銳能源股份有限公司","臺北市內湖區陽光街300號7樓","200000000","160000000"," ","1080214","臺北市內湖區港墘里陽光街３００號７樓","433199,,,","26-MAR-26","","","","",""
"82810534","愛可信台灣軟體研發股份有限公司","臺北市大同區南京西路36號11樓","14300000","14300000"," ","1080129","臺北市大同區建泰里南京西路３６號１１樓","620900,,,","26-MAR-26","","","","",""
"82811273","躍樺國際股份有限公司","臺北市大安區忠孝東路4段270號17樓","6000000","6000000"," ","1080327","臺北市大安區正聲里忠孝東路４段２７０號１７樓","702099,,,","26-MAR-26","","","","",""
"82813737","德鋯科技股份有限公司","臺北市中山區南京東路2段132號9樓之1","10880000","10880000"," ","1080320","臺北市中山區朱園里南京東路２段１３２號９樓之１","457199,464299,,","26-MAR-26","","","","",""
