年度,受傷部位,行業別,受傷部位次數
2022,前膊,石油及煤製品製造業,0
2022,前膊,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,1
2022,前膊,其他化學製品製造業,0
2022,前膊,藥品及醫用化學製品製造業,0
2022,前膊,橡膠製品製造業,5
2022,前膊,塑膠製品製造業,8
2022,前膊,非金屬礦物製品製造業,6
2022,前膊,基本金屬製造業,7
2022,前膊,金屬製品製造業,10
2022,前膊,電子零組件製造業,20
2022,前膊,電腦、電子產品及光學製品製造業,3
2022,前膊,電力設備及配備製造業,2
2022,前膊,機械設備製造業,2
2022,前膊,汽車及其零件製造業,3
2022,前膊,其他運輸工具及其零件製造業,0
2022,前膊,家具製造業,1
2022,前膊,其他製造業,3
2022,前膊,產業用機械設備維修及安裝業,0
2022,前膊,電力及燃氣供應業,0
2022,前膊,用水供應及污染整治業,4
2022,前膊,營建工程業,9
2022,前膊,批發及零售業,17
2022,前膊,運輸及倉儲業,10
2022,前膊,住宿及餐飲業,25
2022,前膊,出版、影音製作、傳播及資通訊服務業,2
2022,前膊,金融及保險業,3
2022,前膊,不動產業,1
2022,前膊,專業、科學及技術服務業,3
2022,前膊,支援服務業,5
2022,前膊,公共行政及國防；強制性社會安全,8
2022,前膊,教育業,1
2022,前膊,醫療保健及社會工作服務業,10
2022,前膊,藝術、娛樂及休閒服務業,2
2022,前膊,其他服務業,0
2022,腕,農、林、漁、牧業,1
2022,腕,礦業及土石採取業,0
2022,腕,製造業,163
2022,腕,食品及飼品製造業,25
2022,腕,飲料製造業,1
2022,腕,菸草製造業,0
2022,腕,紡織業,2
2022,腕,成衣及服飾品製造業,1
2022,腕,皮革、毛皮及其製品製造業,0
2022,腕,木竹製品製造業,0
2022,腕,紙漿、紙及紙製品製造業,3
2022,腕,印刷及資料儲存媒體複製業,1
2022,腕,石油及煤製品製造業,3
2022,腕,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,0
2022,腕,其他化學製品製造業,1
2022,腕,藥品及醫用化學製品製造業,2
2022,腕,橡膠製品製造業,3
2022,腕,塑膠製品製造業,6
2022,腕,非金屬礦物製品製造業,7
2022,腕,基本金屬製造業,4
2022,腕,金屬製品製造業,21
2022,腕,電子零組件製造業,35
2022,腕,電腦、電子產品及光學製品製造業,16
2022,腕,電力設備及配備製造業,5
2022,腕,機械設備製造業,10
2022,腕,汽車及其零件製造業,2
2022,腕,其他運輸工具及其零件製造業,8
2022,腕,家具製造業,1
2022,腕,其他製造業,4
2022,腕,產業用機械設備維修及安裝業,2
2022,腕,電力及燃氣供應業,0
2022,腕,用水供應及污染整治業,9
2022,腕,營建工程業,10
2022,腕,批發及零售業,55
2022,腕,運輸及倉儲業,55
2022,腕,住宿及餐飲業,38
2022,腕,出版、影音製作、傳播及資通訊服務業,8
2022,腕,金融及保險業,10
2022,腕,不動產業,4
2022,腕,專業、科學及技術服務業,11
2022,腕,支援服務業,18
2022,腕,公共行政及國防；強制性社會安全,15
2022,腕,教育業,4
2022,腕,醫療保健及社會工作服務業,38
2022,腕,藝術、娛樂及休閒服務業,9
2022,腕,其他服務業,2
2022,胸,農、林、漁、牧業,2
2022,胸,礦業及土石採取業,0
2022,胸,製造業,115
2022,胸,食品及飼品製造業,9
2022,胸,飲料製造業,0
2022,胸,菸草製造業,0
2022,胸,紡織業,5
2022,胸,成衣及服飾品製造業,0
2022,胸,皮革、毛皮及其製品製造業,0
2022,胸,木竹製品製造業,1
2022,胸,紙漿、紙及紙製品製造業,3
2022,胸,印刷及資料儲存媒體複製業,0
2022,胸,石油及煤製品製造業,0
2022,胸,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,17
2022,胸,其他化學製品製造業,1
2022,胸,藥品及醫用化學製品製造業,1
2022,胸,橡膠製品製造業,1
2022,胸,塑膠製品製造業,4
2022,胸,非金屬礦物製品製造業,2
2022,胸,基本金屬製造業,3
2022,胸,金屬製品製造業,11
2022,胸,電子零組件製造業,20
2022,胸,電腦、電子產品及光學製品製造業,7
2022,胸,電力設備及配備製造業,2
2022,胸,機械設備製造業,14
2022,胸,汽車及其零件製造業,5
2022,胸,其他運輸工具及其零件製造業,6
2022,胸,家具製造業,1
2022,胸,其他製造業,2
2022,胸,產業用機械設備維修及安裝業,0
2022,胸,電力及燃氣供應業,0
2022,胸,用水供應及污染整治業,5
2022,胸,營建工程業,16
2022,胸,批發及零售業,40
2022,胸,運輸及倉儲業,77
2022,胸,住宿及餐飲業,22
2022,胸,出版、影音製作、傳播及資通訊服務業,6
2022,胸,金融及保險業,8
2022,胸,不動產業,6
2022,胸,專業、科學及技術服務業,5
2022,胸,支援服務業,17
2022,胸,公共行政及國防；強制性社會安全,14
2022,胸,教育業,3
2022,胸,醫療保健及社會工作服務業,31
2022,胸,藝術、娛樂及休閒服務業,3
2022,胸,其他服務業,4
2022,肋骨,農、林、漁、牧業,1
2022,肋骨,礦業及土石採取業,0
2022,肋骨,製造業,85
2022,肋骨,食品及飼品製造業,14
2022,肋骨,飲料製造業,0
2022,肋骨,菸草製造業,0
2022,肋骨,紡織業,2
2022,肋骨,成衣及服飾品製造業,0
2022,肋骨,皮革、毛皮及其製品製造業,0
2022,肋骨,木竹製品製造業,0
2022,肋骨,紙漿、紙及紙製品製造業,1
2022,肋骨,印刷及資料儲存媒體複製業,0
2022,肋骨,石油及煤製品製造業,0
2022,肋骨,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,15
2022,肋骨,其他化學製品製造業,0
2022,肋骨,藥品及醫用化學製品製造業,1
2022,肋骨,橡膠製品製造業,0
2022,肋骨,塑膠製品製造業,2
2022,肋骨,非金屬礦物製品製造業,5
2022,肋骨,基本金屬製造業,8
2022,肋骨,金屬製品製造業,7
2022,肋骨,電子零組件製造業,9
2022,肋骨,電腦、電子產品及光學製品製造業,1
2022,肋骨,電力設備及配備製造業,1
2022,肋骨,機械設備製造業,10
2022,肋骨,汽車及其零件製造業,1
2022,肋骨,其他運輸工具及其零件製造業,6
2022,肋骨,家具製造業,0
2022,肋骨,其他製造業,2
2022,肋骨,產業用機械設備維修及安裝業,0
2022,肋骨,電力及燃氣供應業,0
2022,肋骨,用水供應及污染整治業,4
2022,肋骨,營建工程業,9
2022,肋骨,批發及零售業,9
2022,肋骨,運輸及倉儲業,39
2022,肋骨,住宿及餐飲業,14
2022,肋骨,出版、影音製作、傳播及資通訊服務業,3
2022,肋骨,金融及保險業,10
2022,肋骨,不動產業,3
2022,肋骨,專業、科學及技術服務業,3
2022,肋骨,支援服務業,18
2022,肋骨,公共行政及國防；強制性社會安全,12
2022,肋骨,教育業,3
2022,肋骨,醫療保健及社會工作服務業,17
2022,肋骨,藝術、娛樂及休閒服務業,4
2022,肋骨,其他服務業,3
2022,背,農、林、漁、牧業,4
2022,背,礦業及土石採取業,0
2022,背,製造業,185
2022,背,食品及飼品製造業,26
2022,背,飲料製造業,0
2022,背,菸草製造業,0
2022,背,紡織業,5
2022,背,成衣及服飾品製造業,0
2022,背,皮革、毛皮及其製品製造業,1
2022,背,木竹製品製造業,0
2022,背,紙漿、紙及紙製品製造業,4
2022,背,印刷及資料儲存媒體複製業,2
2022,背,石油及煤製品製造業,1
2022,背,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,16
2022,背,其他化學製品製造業,0
2022,背,藥品及醫用化學製品製造業,4
2022,背,橡膠製品製造業,2
2022,背,塑膠製品製造業,5
2022,背,非金屬礦物製品製造業,3
2022,背,基本金屬製造業,7
2022,背,金屬製品製造業,19
2022,背,電子零組件製造業,40
2022,背,電腦、電子產品及光學製品製造業,12
2022,背,電力設備及配備製造業,5
2022,背,機械設備製造業,9
2022,背,汽車及其零件製造業,5
2022,背,其他運輸工具及其零件製造業,11
2022,背,家具製造業,0
2022,背,其他製造業,7
2022,背,產業用機械設備維修及安裝業,1
2022,背,電力及燃氣供應業,0
2022,背,用水供應及污染整治業,11
2022,背,營建工程業,15
2022,背,批發及零售業,81
2022,背,運輸及倉儲業,88
2022,背,住宿及餐飲業,38
2022,背,出版、影音製作、傳播及資通訊服務業,4
2022,背,金融及保險業,7
2022,背,不動產業,2
2022,背,專業、科學及技術服務業,4
2022,背,支援服務業,19
2022,背,公共行政及國防；強制性社會安全,17
2022,背,教育業,5
2022,背,醫療保健及社會工作服務業,34
2022,背,藝術、娛樂及休閒服務業,8
2022,背,其他服務業,1
2022,手,農、林、漁、牧業,2
2022,手,礦業及土石採取業,0
2022,手,製造業,1005
2022,手,食品及飼品製造業,110
2022,手,飲料製造業,7
2022,手,菸草製造業,0
2022,手,紡織業,39
2022,手,成衣及服飾品製造業,7
2022,手,皮革、毛皮及其製品製造業,5
2022,手,木竹製品製造業,5
2022,手,紙漿、紙及紙製品製造業,22
2022,手,印刷及資料儲存媒體複製業,9
2022,手,石油及煤製品製造業,0
2022,手,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,15
2022,手,其他化學製品製造業,4
2022,手,藥品及醫用化學製品製造業,22
2022,手,橡膠製品製造業,19
2022,手,塑膠製品製造業,71
2022,手,非金屬礦物製品製造業,38
2022,手,基本金屬製造業,40
2022,手,金屬製品製造業,129
2022,手,電子零組件製造業,180
2022,手,電腦、電子產品及光學製品製造業,47
2022,手,電力設備及配備製造業,40
2022,手,機械設備製造業,53
2022,手,汽車及其零件製造業,23
2022,手,其他運輸工具及其零件製造業,65
2022,手,家具製造業,7
2022,手,其他製造業,48
2022,手,產業用機械設備維修及安裝業,0
2022,手,電力及燃氣供應業,6
2022,手,用水供應及污染整治業,36
2022,手,營建工程業,50
2022,手,批發及零售業,299
2022,手,運輸及倉儲業,210
2022,手,住宿及餐飲業,329
2022,手,出版、影音製作、傳播及資通訊服務業,20
2022,手,金融及保險業,52
2022,手,不動產業,67
2022,手,專業、科學及技術服務業,41
2022,手,支援服務業,74
2022,手,公共行政及國防；強制性社會安全,73
2022,手,教育業,26
2022,手,醫療保健及社會工作服務業,117
2022,手,藝術、娛樂及休閒服務業,25
2022,手,其他服務業,13
2022,指,農、林、漁、牧業,6
2022,指,礦業及土石採取業,1
2022,指,製造業,1422
2022,指,食品及飼品製造業,148
2022,指,飲料製造業,6
2022,指,菸草製造業,0
2022,指,紡織業,42
2022,指,成衣及服飾品製造業,5
2022,指,皮革、毛皮及其製品製造業,6
2022,指,木竹製品製造業,7
2022,指,紙漿、紙及紙製品製造業,31
2022,指,印刷及資料儲存媒體複製業,9
2022,指,石油及煤製品製造業,1
2022,指,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,24
2022,指,其他化學製品製造業,21
2022,指,藥品及醫用化學製品製造業,14
2022,指,橡膠製品製造業,51
2022,指,塑膠製品製造業,83
2022,指,非金屬礦物製品製造業,30
2022,指,基本金屬製造業,79
2022,指,金屬製品製造業,250
2022,指,電子零組件製造業,162
2022,指,電腦、電子產品及光學製品製造業,75
2022,指,電力設備及配備製造業,71
2022,指,機械設備製造業,128
2022,指,汽車及其零件製造業,58
2022,指,其他運輸工具及其零件製造業,53
2022,指,家具製造業,13
2022,指,其他製造業,50
2022,指,產業用機械設備維修及安裝業,5
2022,指,電力及燃氣供應業,4
2022,指,用水供應及污染整治業,30
2022,指,營建工程業,39
2022,指,批發及零售業,187
2022,指,運輸及倉儲業,110
2022,指,住宿及餐飲業,298
2022,指,出版、影音製作、傳播及資通訊服務業,2
2022,指,金融及保險業,9
2022,指,不動產業,11
2022,指,專業、科學及技術服務業,24
2022,指,支援服務業,35
2022,指,公共行政及國防；強制性社會安全,37
2022,指,教育業,5
2022,指,醫療保健及社會工作服務業,97
2022,指,藝術、娛樂及休閒服務業,28
2022,指,其他服務業,16
2022,腹,農、林、漁、牧業,0
2022,腹,礦業及土石採取業,1
2022,腹,製造業,29
2022,腹,食品及飼品製造業,3
2022,腹,飲料製造業,0
2022,腹,菸草製造業,0
2022,腹,紡織業,0
2022,腹,成衣及服飾品製造業,0
2022,腹,皮革、毛皮及其製品製造業,0
2022,腹,木竹製品製造業,0
2022,腹,紙漿、紙及紙製品製造業,2
2022,腹,印刷及資料儲存媒體複製業,0
2022,腹,石油及煤製品製造業,0
2022,腹,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,1
2022,腹,其他化學製品製造業,0
2022,腹,藥品及醫用化學製品製造業,1
2022,腹,橡膠製品製造業,1
2022,腹,塑膠製品製造業,1
2022,腹,非金屬礦物製品製造業,1
2022,腹,基本金屬製造業,2
2022,腹,金屬製品製造業,2
2022,腹,電子零組件製造業,7
2022,腹,電腦、電子產品及光學製品製造業,0
2022,腹,電力設備及配備製造業,1
2022,腹,機械設備製造業,3
2022,腹,汽車及其零件製造業,0
2022,腹,其他運輸工具及其零件製造業,1
2022,腹,家具製造業,0
2022,腹,其他製造業,3
2022,腹,產業用機械設備維修及安裝業,0
2022,腹,電力及燃氣供應業,1
2022,腹,用水供應及污染整治業,5
2022,腹,營建工程業,0
2022,腹,批發及零售業,9
2022,腹,運輸及倉儲業,9
2022,腹,住宿及餐飲業,15
2022,腹,出版、影音製作、傳播及資通訊服務業,0
2022,腹,金融及保險業,3
2022,腹,不動產業,0
2022,腹,專業、科學及技術服務業,0
2022,腹,支援服務業,6
2022,腹,公共行政及國防；強制性社會安全,3
2022,腹,教育業,1
2022,腹,醫療保健及社會工作服務業,11
2022,腹,藝術、娛樂及休閒服務業,0
2022,腹,其他服務業,0
2022,臀,農、林、漁、牧業,1
2022,臀,礦業及土石採取業,0
2022,臀,製造業,123
2022,臀,食品及飼品製造業,14
2022,臀,飲料製造業,0
2022,臀,菸草製造業,0
2022,臀,紡織業,4
2022,臀,成衣及服飾品製造業,0
2022,臀,皮革、毛皮及其製品製造業,0
2022,臀,木竹製品製造業,0
2022,臀,紙漿、紙及紙製品製造業,3
2022,臀,印刷及資料儲存媒體複製業,0
2022,臀,石油及煤製品製造業,0
2022,臀,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,3
2022,臀,其他化學製品製造業,1
2022,臀,藥品及醫用化學製品製造業,3
2022,臀,橡膠製品製造業,2
2022,臀,塑膠製品製造業,12
2022,臀,非金屬礦物製品製造業,5
2022,臀,基本金屬製造業,6
2022,臀,金屬製品製造業,8
2022,臀,電子零組件製造業,29
2022,臀,電腦、電子產品及光學製品製造業,9
2022,臀,電力設備及配備製造業,5
2022,臀,機械設備製造業,7
2022,臀,汽車及其零件製造業,1
2022,臀,其他運輸工具及其零件製造業,7
2022,臀,家具製造業,0
2022,臀,其他製造業,4
2022,臀,產業用機械設備維修及安裝業,0
