"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"16173787","興環實業有限公司","臺北市信義區林口街38巷36號1樓","5000000"," "," ","0861103","臺北市信義區林口街３８巷３６號１樓","474113,,,","26-MAR-26","","","","",""
"16174152","茂綺實業有限公司","臺北市內湖區內湖路3段135號","20000000"," "," ","0861104","臺北市內湖區金龍里內湖路３段１３５號","740100,456999,,","26-MAR-26","","","","",""
"16176270","亨美達運通有限公司","臺北市中山區南京東路2段174號12樓","7500000"," "," ","0861110","臺北市中山區朱園里南京東路２段１７４號１２樓","501011,523300,,","26-MAR-26","","","","",""
"16197916","全球趨勢物流股份有限公司","臺北市內湖區金湖路401巷38號","25000000","25000000"," ","0860816","臺北市內湖區葫洲里金湖路４０１巷３８號","472914,,,","26-MAR-26","","","","",""
"16209188","慧智科技股份有限公司","臺北市信義區基隆路1段141號3樓之2","30000000","30000000"," ","0860829","臺北市信義區興雅里基隆路１段１４１號３樓之２","483112,464211,,","26-MAR-26","","","","",""
"16234399","松讚搬家貨運有限公司","臺北市南港區南港路3段50巷10號2樓","11000000"," "," ","0861003","臺北市南港區西新里南港路３段５０巷１０號２樓","494012,494099,382199,","26-MAR-26","","","","",""
"16236951","八方行食品股份有限公司","臺北市中山區民族東路410巷23弄1號1樓","39000000","39000000"," ","0861006","臺北市中山區行仁里７鄰民族東路４１０巷２３弄１號１樓","453311,472911,472211,454399","26-MAR-26","","","","八方行食品,八次元,","2024-11-27"
"16241309","雅璞建設股份有限公司","臺北市大安區仁愛路4段2號7樓","65000000","65000000"," ","0861013","臺北市大安區仁慈里仁愛路４段２號７樓","670012,,,","26-MAR-26","","","","THG THE HOME GROUP,","2024-11-27"
"16253228","天瀚科技股份有限公司","臺北市松山區長安東路2段215號9樓之1","3200000000","278000000"," ","0861027","臺北市松山區中正里長安東路２段２１５號９樓之１","464299,272915,723000,273099","26-MAR-26","6225","26","2026-03-25 00:00:00.0","AIPTEK,天瀚,","2024-11-27"
"16253803","太羅國際有限公司","臺北市中正區羅斯福路4段24巷13號3樓","5000000"," "," ","0921202","臺北市中正區文盛里羅斯福路４段２４巷１３號３樓","455312,731011,,","26-MAR-26","","","","",""
"16262845","連益國際租賃有限公司","臺北市大安區仁愛路4段125號3樓","5000000"," "," ","0861107","臺北市大安區建倫里仁愛路４段１２５號３樓","772100,465112,484112,","26-MAR-26","","","","",""
"16268003","三門科技股份有限公司","臺北市內湖區行忠路42號6樓","300000000","200000000"," ","0861114","臺北市內湖區湖元里行忠路４２號６樓","261199,639099,,","26-MAR-26","","","","",""
"16268290","泊安有限公司","臺北市大同區華陰街33號3樓之2","10000000"," "," ","0861114","臺北市大同區建明里華陰街３３號３樓之２","340099,433199,740100,","26-MAR-26","","","","",""
"16281548","元周建築開發有限公司","臺北市中正區許昌街42之1號9樓","10000000"," "," ","0861124","臺北市中正區黎明里許昌街４２─１號９樓","410013,,,","26-MAR-26","","","","","2024-11-27"
"16281701","花鄉開發有限公司","臺北市信義區基隆路1段109之6號3樓之2","50000000"," "," ","0861124","臺北市信義區敦厚里基隆路１段１０９－６號３樓之２","681211,,,","26-MAR-26","","","","",""
"16281955","三番股份有限公司","臺北市大安區光復南路72巷7弄9號1樓","10500000","10500000"," ","0861124","臺北市大安區華聲里光復南路７２巷７弄９號１樓","464112,,,","26-MAR-26","","","","","2024-11-27"
"16282878","來旺貨運交通有限公司","臺北市中山區長春路184號8樓之6","25000000"," "," ","0861126","臺北市中山區長春路１８４號８樓之６","494099,820999,782000,","26-MAR-26","","","","",""
"16283145","貝登堡國際開發有限公司","臺北市中山區復興北路346號1樓","1000000"," "," ","0861126","臺北市中山區江山里復興北路３４６號１樓","451099,969099,702099,","26-MAR-26","","","","",""
"16286543","慶杰國際股份有限公司","臺北市中山區民生東路2段143號8樓","5000000","5000000"," ","0861205","臺北市中山區松江里民生東路２段１４３號８樓","457299,475299,193299,","26-MAR-26","","","","",""
