"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"28903227","泰迪工程有限公司","新北市三重區大智街126號2樓","1000000"," "," ","0961226","新北市三重區民生里大智街１２６號２樓","452000,474199,433111,433211","26-MAR-26","","","","",""
"28914505","祥裕工業股份有限公司","新北市新莊區豐年街28巷19之1號","10000000","10000000"," ","0970116","新北市新莊區豐年街２８巷１９之１號","360000,433111,433212,422015","26-MAR-26","","","","",""
"28914646","全鴻興業有限公司","新北市永和區得和路415號2樓","4000000"," "," ","0970116","新北市永和區秀得里得和路４１５號２樓","383099,469199,464211,469925","26-MAR-26","","","","",""
"28925545","捷勝生技有限公司","新北市中和區華順街122號","8000000"," "," ","0970204","新北市中和區壽德里華順街１２２號","475299,457299,456999,","26-MAR-26","","","","MCMC HDK HOMEDKLOVER,HDK WEBEJET,冠倍捷,璞倍捷,蔚倍捷,HDK COVEJET,HDK HA VPENZ,","2024-11-27"
"28931080","元泰加油站股份有限公司","新北市泰山區新五路1段135號","6000000","6000000"," ","0970222","新北市泰山區楓樹里新五路１段１３５號","482111,482112,951199,524100","26-MAR-26","","","","",""
"28932102","好事多有限公司","新北市鶯歌區中正三路335巷16號","500000"," "," ","0970225","新北市鶯歌區二橋里中正三路３３５巷１６號","461313,481014,474999,","26-MAR-26","","","","",""
"28942523","宏蕎科技有限公司","新北市新莊區幸福路814號2樓","1000000"," "," ","0970314","新北市新莊區中平里幸福路８１４號２樓","464111,464211,464112,464922","26-MAR-26","","","","帝君慈慧共修園,WWW DIJYUN COM,","2024-11-27"
"28961605","伊凡廚飾有限公司","新北市土城區裕民路173號5樓","1000000"," "," ","0970410","新北市土城區學府里裕民路１７３號５樓","434013,,,","26-MAR-26","","","","",""
"29040467","立治科技股份有限公司","新北市汐止區大同路1段239號15樓之1","50000000","50000000"," ","0970630","新北市汐止區樟樹里大同路一段２３９號１５樓之１","464211,639099,,","26-MAR-26","","","","LIZTECH,","2024-11-27"
"29042269","金球系統有限公司","新北市中和區橋和路11號8樓","13000000"," "," ","0970624","新北市中和區中原里橋和路１１號８樓","433199,281099,760999,","26-MAR-26","","","","",""
