編號,公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反性別平等工作法（修正前為性別工作平等法，下同）條款,違反法規內容,罰鍰金額,備註
137,1090605,1090429,北市勞就字第10861000611號,余瑞峰（即大直永安藥局）,余瑞峰,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
138,1090605,1090428,北市勞就字第10960078743號,大楠有限公司,許翠紋,性別工作平等法第11條第1項,懷孕歧視,,審議駁回(原處分維持)
139,1090605,1090430,北市勞就字第10861150663號,醫療財團法人辜公亮基金會和信治癌中心醫院,黃達夫,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
140,1090505,1090305,北市勞就字第10860682803號,光復艾克有限公司,張詠翔,性別工作平等法第13條第1項及第2項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示；雇主未盡工作場所性騷擾防治義務,,原告之訴駁回(原處分維持)
141,1090401,1090221,北市勞就字第10861035711號,唯衣時尚科技有限公司,羅福森,性別工作平等法第7條,性別歧視,,訴願駁回(原處分維持)
142,1090401,1090227,北市勞就字第10860888231號,雲翔旅行社有限公司,徐蓓麗,性別工作平等法第21條第1項,申請育嬰留職停遭拒絕,,
143,1090305,1090103,北市勞就字第10860507921號,愛桃子有限公司,李懿恆,性別工作平等法第7條,性別歧視,,
144,1090205,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
145,1090103,1081014,北市勞就字第10860280831號,鈦美旅行社有限公司,鄧偉立,性別工作平等法第13條第1項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示,,
146,1090103,1081022,北市勞就字第10860652811號,金貝科技有限公司,施坤良,性別工作平等法第11條第1項,懷孕歧視,,審議駁回(原處分維持)
147,1090103,1081021,北市勞就字第10860280821號,財團法人中華文化社會福利事業基金會附設職業訓練中心,翁茂琳,性別工作平等法第9條;性別工作平等法第21條第1項;性別工作平等法第21條第2項,性別歧視、申請育嬰留職停遭拒絕並給予不利處分,,訴願駁回(原處分維持)
148,1081205,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
149,1081105,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
150,1081004,1080819,北市勞就字第10860178841號,長春石油化學股份有限公司,廖龍星,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
151,1081004,1080820,北市勞就字第10860510711號,柯達大飯店股份有限公司,柯孫達,性別工作平等法第11條第1項;性別工作平等法第13條第2項,性別歧視及雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
152,1081004,1080829,北市勞就字第10860240261號,智擎數位科技股份有限公司,李永正,性別工作平等法第11條第1項,懷孕歧視,,訴願駁回(原處分維持)
153,1080905,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
154,1080805,1080618,北市勞就字第10860013121號,王斯虹(即好寶貝北投一館產後護理之家),王斯虹,性別工作平等法第21條第1項,申請產假遭拒絕,,
155,1080705,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
156,1080605,1080430,北市勞就字第10760740621號,永晟電腦有限公司,李佳達,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
157,1080503,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
158,1080403,1080214,北市勞就字第10760561181號,利百加健康事業有限公司,沈鳳俊,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
159,1080403,1080215,北市勞就字第10760595221號,堯城有限公司,張香程,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
160,1080305,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
161,1080201,1071206,北市勞就字第10760382561號,偉捷彩色印刷有限公司,翁明賢,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
162,1080105,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
163,1071205,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
164,1071105,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
165,1071005,1070816,北市勞就字第10731550600號,威祺有限公司,蔡明清,性別工作平等法第21條第1項,申請育嬰留職停薪遭拒絕恢復原職,,
166,1071005,1070810,北市勞就字第10732008800號,生活經紀人事業股份有限公司,陳建瑋,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
167,1071005,1070810,北市勞就字第10731562700號,網奕資訊科技股份有限公司,吳權威,性別工作平等法第11條第1項,懷孕歧視,,上訴駁回(原處分維持)
168,1070905,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
169,1070803,1070611,北市勞就字第10730078900號,陸鋒科技有限公司,曾銍淅,性別工作平等法第21條第2項,申請產假薪遭不利處分,,訴願駁回(原處分維持)
170,1070803,1070614,北市勞就字第10730275000號,天群醫療企業股份有限公司,郭外天,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
171,1070803,1070619,北市勞就字第10730780000號,端訊企業有限公司,葉桂榮,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,原告之訴駁回(原處分維持)
172,1070705,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
173,1070605,1070424,北市勞就字第10640663800號,領航大健康股份有限公司,蔡素玲,性別工作平等法第21條第2項,申請安胎假遭遭不利處分,,原告之訴駁回(原處分維持)
174,1070504,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
175,1070403,1070212,北市勞就字第10640687800號,翰新實業股份有限公司,蔡錦芳,性別工作平等法第21條第2項,因育嬰留職停薪遭不利處分,,訴願駁回(原處分維持)
176,1070305,1070116,北市勞就字第10636635700號,高勁健身事業股份有限公司,劉國輝,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務、且因受僱者提出性別工作平等法申訴而予以不利處分,,
177,1070205,1061211,北市勞就字第10636296300號,企建科技股份有限公司,林其奕,性別工作平等法第11條第1項;性別工作平等法第21條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇及請安胎假遭拒絕,,訴願駁回(原處分維持)
178,1070205,1061211,北市勞就字第10636429300號,齊云生活美學館有限公司,謝其昀,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
179,1070105,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
180,1061201,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
181,1061103,1060929,北市勞就字第10635082300號,全聯實業股份有限公司,林敏雄,性別工作平等法第21條第2項,因育嬰留職停薪遭不利處分,,
182,1061005,1060803,北市勞就字第10631554500號,寶力健康生活事業有限公司（原名：芳倪思國際有限公司）,曾碧慧,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,原告之訴駁回(原處分維持)
183,1061005,1060815,北市勞就字第10633797300號,良維科技股份有限公司,李淳正,性別工作平等法第21條第2項,申請產假及申請育嬰留職停薪復職予遭不利處分,,
184,1060905,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
185,1060804,1060615,北市勞就字第10631839200號,郵船通運股份有限公司,北浦剛,性別工作平等法第21條第2項,申請育嬰留職停薪不利處分,,
186,1060804,1060616,北市勞就字第10631513500號,台灣愛生雅股份有限公司,李潔琳,性別工作平等法第21條第2項,因育嬰留職停薪遭不利處分,,審議駁回(原處分維持)
187,1060804,1060615,北市勞就字第10633014700號,德恩食品機械股份有限公司,鄭雪峰,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,訴願駁回(原處分維持)
188,1060804,1060615,北市勞就字第10631319200號,歐鼎企業有限公司,羅寬山,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
189,1060705,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
190,1060605,1060410,北市勞就字第10542241700號,雅尚國際有限公司,黃冠斌,性別工作平等法第21條第2項,育嬰留職停薪復職遭不利處分,,
191,1060605,1060418,北市勞就字第10543815400號,好寶貝北投一館產後護理之家,王斯虹,性別工作平等法第21條第2項,育嬰留職停薪復職遭不利處分,,訴願駁回(原處分維持)
192,1060505,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
193,1060405,1060125,北市勞就字第10543025000號,中研有限公司,陳天賜,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
194,1060405,1060126,北市勞就字第10544149500號,利商股份有限公司,曹錫雄,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
195,1060303,1050812,北市勞就字第10531448700號,福田雨股份有限公司(改名前為成利國際事業股份有限公司),孫宇昌,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，不得因性別或性傾向而有差別待遇,,原告之訴駁回(原處分維持)
196,1060303,1051208,北市勞就字第10541786300號,展群營造股份有限公司,楊永剛,性別工作平等法第13條第1項;性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務、且因受僱者提出性別工作平等法申訴而予以不利處分,,訴願駁回(原處分維持)
197,1060303,1051213,北市勞就字第10537807500號,志嘉建設股份有限公司,楊昌堯,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
198,1060202,無,無,無,無,無,無,,本期無違反性別工作平等法之事業單位
199,1060105,1051026,北市勞就字第10534075100號,俚頭梢音響股份有限公司,陳恒星,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務。,,
200,1051202,1050216,北市勞就字第10439900500號,有意思數位人文股份有限公司,沈秉文,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇。,,原告之訴駁回(原處分維持)
