項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
132176,無市招(賴○汝),臺北市萬華區,蚵白,111/11/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
179082,無市招(賴○汝),臺北市萬華區,青江,110/11/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
217486,無市招菜販(林○長),新北市三峽區,大白菜,109/12/30,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
152312,王O銘,臺北市大安區,雞佛,111/7/26,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
15997,王○,新北市蘆洲區,香才(芫荽),114/7/4,農藥(草脫淨),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
81636,王○慧,新北市林口區,白蘿蔔,112/10/4,農藥(祿芬隆),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
125561,王○旺,新北市板橋區,蜜棗,111/12/26,農藥(四氯異苯腈),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
16213,王○發,新北市樹林區,酪梨,114/8/7,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
32678,王○蓁,新北市新莊區,秋葵,114/4/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
163843,王○達,新北市三峽區,粉蔥,111/3/29,農藥(氟派瑞),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
80418,盧O修鮮魚號,臺北市中正區,冷凍生鮮白蝦,113/4/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
80419,盧O修鮮魚號,臺北市中正區,鱸魚,113/4/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87562,石○聖,新北市土城區,蓮霧,112/10/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
209500,祥鈺水產,臺北市松山區,肥美大牡蠣時價600g現撈去殼實重不含水,110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
209501,祥鈺水產,臺北市松山區,大片去刺虱目魚肚210g,110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199570,簡大廚,臺北市松山區,CHOICE特選級安格斯嫩肩板腱(燒烤片),110/6/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199571,簡大廚,臺北市松山區,CHOICE特選級安格斯牛小排,110/6/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199692,簡大廚,臺北市松山區,BEIIOTA橡木子伊比利豬肋條,110/6/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
16338,粘○福,臺北市中山區,芒果,114/7/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
61136,粘○福,臺北市中山區,四季豆(菜豆),113/7/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
183646,翁○華,台北市萬華區,胡瓜,110/11/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
58623,葉O養,臺北市萬華區,甲魚,113/10/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199978,蓮貞豚,臺北市松山區,網室里肌肉片,110/7/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199979,蓮貞豚,臺北市松山區,網室豬心,110/7/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
625,蔡O春,臺北市文山區,鵝,115/2/4,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
35126,蔡○呈,新北市新莊區,醜豆,114/3/27,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
204852,蔬菜承銷人2526李○隆,臺北市中山區,韭菜,110/5/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
205206,蔬菜承銷人2526李○隆,臺北市中山區,黃秋葵,110/5/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
205207,蔬菜承銷人2526李○隆,臺北市中山區,黃秋葵,110/5/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
38779,蕭○森,新北市土城區,帶葉金柑,114/2/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
34970,蘇○文,新北市三峽區,娃娃菜,114/2/11,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
81672,謝○枚,臺北市萬華區,茼蒿,113/1/16,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
145257,賴○賢,新北市中和區,帶蒂甜豆(豌豆),111/9/1,農藥(護矽得),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
151344,邵○勇,新北市三重區,特選甜豆(豌豆),111/6/1,農藥(可尼丁、脫芬瑞、賽速安),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
119238,郭O治,臺北市萬華區,梅花肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
