principal,date,law,name,id,lawcontent,docno,amt_dollartwd
陳麗惠,2024-06-04,職業安全衛生法第6條第1項,展揚營造有限公司,994143636WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647374號,60000
董錕堂,2024-06-04,職業安全衛生法第6條第1項,匯錄企業股份有限公司,994143637WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646898號,30000
游仲堅,2024-06-04,職業安全衛生法第6條第1項,萬榮國際企業股份有限公司,994143638WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647300號,30000
李世斌,2024-06-05,職業安全衛生法第6條第1項,飛泓起重工程有限公司,994312688WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647261號,30000
潘國順,2024-06-06,職業安全衛生法第6條第1項,萬代福營造有限公司,994476546WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648004號,90000
鄭俊明,2024-06-07,職業安全衛生法第6條第1項,弘展基礎工程專業營造股份有限公司,994476552WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647843號,40000
陳朝國,2024-06-07,職業安全衛生法第6條第1項,港洲營造股份有限公司,994476553WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648013號,50000
陳玉玫,2024-06-07,職業安全衛生法第6條第1項,首鋼營造股份有限公司,994476554WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647626號,50000
林秋田,2024-06-07,職業安全衛生法第6條第1項,耀鋐營造有限公司,994476555WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647771號,30000
朱玉珠,2024-06-07,職業安全衛生法第6條第1項,億東營造股份有限公司,994476556WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647769號,50000
鄭伊珊,2024-06-11,職業安全衛生法第6條第1項,宏遠國際餐飲股份有限公司,994640017WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647916號,30000
盛治仁,2024-06-11,職業安全衛生法第6條第1項,雲品國際酒店股份有限公司,995045596WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648163號,30000
江志初,2024-06-11,職業安全衛生法第6條第1項,英鼎工程有限公司,995045597WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647827號,30000
田中一彥,2024-06-12,職業安全衛生法第6條第1項,台灣松下營造股份有限公司,995045629WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648294號,140000
董顯志,2024-06-13,職業安全衛生法第6條第1項,青鈿營造股份有限公司,995045631WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648207號,30000
謝英美,2024-06-12,職業安全衛生法第6條第1項,大象實業股份有限公司,995209896WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648237號,40000
孫榮昌,2024-06-13,職業安全衛生法第6條第1項,長佑營造有限公司,995209897WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648488號,30000
嘪文旭,2024-06-13,職業安全衛生法第6條第1項,群裕工程有限公司,995209900WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648124號,40000
