principal,date,law,name,id,lawcontent,docno,amt_dollartwd
陳偉群,2022-02-15,勞動基準法第32條第2項,國樹保全股份有限公司,875213113WZT,延長工作時間超過法令規定,新北府勞檢字第1114734088號,20000
陳建銘,2022-02-15,勞動基準法第32條第2項,日昭電子股份有限公司,875686225WZT,延長工作時間超過法令規定,新北府勞檢字第1114734126號,40000
陳建銘,2022-02-15,勞動基準法第38條第2項,日昭電子股份有限公司,875686226WZT,未依規定給予特別休假,新北府勞檢字第11147341261號,40000
周榮在,2022-02-15,勞動基準法第30條第6項,強榮超音波機械有限公司,875686227WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114733523號,10000
周榮在,2022-02-15,勞動基準法第38條第1項及第4項,強榮超音波機械有限公司,875686229WZT,未依規定給予特別休假,新北府勞檢字第11147335231號,10000
廖珮柔,2022-02-15,勞動基準法第22條第2項,百順科技建材有限公司,875686230WZT,工資未全額直接給付勞工,新北府勞檢字第1114734101號,20000
廖珮柔,2022-02-15,勞動基準法第23條第2項,百順科技建材有限公司,875686231WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第11147341011號,20000
 ,2022-02-16,勞動基準法第24條,鄭仰志(即立吉診所),875686233WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114733878號,20000
 ,2022-02-16,勞動基準法第36條第1項,鄭仰志(即立吉診所),875686234WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147338781號,20000
林正明,2022-02-16,勞動基準法第24條,啟揚通運股份有限公司,876329969WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734050號,20000
林正明,2022-02-16,勞動基準法第30條第6項,啟揚通運股份有限公司,876329970WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第11147340501號,20000
楊裕斌,2022-02-16,勞動基準法第32條第2項,東建美護股份有限公司,876329971WZT,延長工作時間超過法令規定,新北府勞檢字第1114734285號,20000
楊裕斌,2022-02-16,勞動基準法第36條第1項,東建美護股份有限公司,876329972WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147342851號,20000
陳金國,2022-02-16,勞動基準法第24條,順成電機有限公司,876329974WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734049號,40000
陳金國,2022-02-16,勞動基準法第32條第2項,順成電機有限公司,876329975WZT,延長工作時間超過法令規定,新北府勞檢字第11147340491號,40000
徐惠娟,2022-02-16,勞動基準法第30條第5項,一哥海產有限公司,876329976WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第1114734353號,45000
 ,2022-02-16,勞動基準法第21條第1項,鄭偉祥(即三合美髮店),876329978WZT,未達法定基本工資標準,新北府勞檢字第1114734018號,20000
 ,2022-02-16,勞動基準法第24條,鄭偉祥(即三合美髮店),876329979WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147340181號,20000
 ,2022-02-16,勞動基準法第39條,鄭偉祥(即三合美髮店),876329980WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147340182號,20000
鄭伊珊,2022-02-16,勞動基準法第21條第1項,元茂農產企業股份有限公司,876329981WZT,未達法定基本工資標準,新北府勞檢字第1114734282號,20000
鄭伊珊,2022-02-16,勞動基準法第24條,元茂農產企業股份有限公司,876329982WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147342821號,40000
鄭伊珊,2022-02-16,勞動基準法第32條第2項,元茂農產企業股份有限公司,876329983WZT,延長工作時間超過法令規定,新北府勞檢字第11147342822號,40000
鄭伊珊,2022-02-16,勞動基準法第39條,元茂農產企業股份有限公司,876329985WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147342823號,40000
余奇姝,2022-02-17,勞動基準法第32條第2項,酒條通有限公司,876804593WZT,延長工作時間超過法令規定,新北府勞檢字第11147339341號,20000
林國基,2022-02-18,勞動基準法第30條第6項,昌億機械有限公司,876804595WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114734545號,40000
 ,2022-02-18,勞動基準法第30條第5項,吳詩筠(即詩筠行),876804596WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第1114734407號,45000
鄭瑞賓,2022-02-18,勞動基準法第24條,饗樂餐飲實業股份有限公司,877256628WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734472號,80000
陳普振,2022-02-18,勞動基準法第30條第5項,員山新村公寓大廈管理委員會,877256631WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第1114734411號,45000
廖明堅,2022-02-18,勞動基準法第32條第2項,一之軒食品有限公司,877256632WZT,延長工作時間超過法令規定,新北府勞檢字第1114734471號,40000
 ,2022-02-21,勞動基準法第24條,黃濬(即布雷克服飾店),877256633WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734461號,10000
劉永智,2022-02-21,勞動基準法第24條,天下特勤保全股份有限公司,877256634WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734462號,40000
褚桂錡,2022-02-21,勞動基準法第24條,鴻鈞電機有限公司,877748486WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734592號,20000
