項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
5193,太順自助餐店,新北市樹林區太順街70號,苦瓜,113/6/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5194,太順自助餐店,新北市樹林區太順街70號,豬肉,110/6/22,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5195,夯下去新潮和牛燒肉,臺北市萬華區漢中街36號,特上鮮嫩菲力,112/3/21,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5196,奇力愛股份有限公司,新北市汐止區新台五路1段99號10樓,牛火片油花多(培根牛肉片),110/3/2,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5197,奇力愛股份有限公司,新北市汐止區復興里新台五路1段99號10樓,牛肋條,110/3/2,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5198,奇力愛股份有限公司(汐止廠),新北市汐止區復興里新台五路1段99號10樓、10樓之1、10樓之2、10樓之3、10樓之11、10樓之12,3D黑餐盒,110/3/2,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5199,奇摩購物中心,臺北市南港區三重路66號14樓,特選醬香金針菇,112/5/7,放射性核種,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5200,奇摩購物中心,臺北市南港區三重路66號14樓,糖果,111/6/2,放射性核種,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5201,奇新蛋糕屋,新北市新莊區幸福路651號1樓,鹹蛋黃,111/7/11,防腐劑、著色劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5202,奇異鳥股份有限公司,新北市新莊區幸福路740號2樓,-,111/8/22,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5203,奇花異果貿易有限公司,新北市新莊區頭前路2巷14號1樓,奇花異果-西瓜偎大邊,113/5/21,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5204,奇華股份有限公司(奇華餅家-信義店),台北市信義區松高路12號B2,正紅豆沙月,113/7/8,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5205,奇華股份有限公司中山分公司(奇華餅家-中山總店),台北市中山區中山北路2段32號,蛋黃豆沙月,113/7/8,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5206,奇華股份有限公司中山分公司(奇華餅家-中山總店),台北市中山區中山北路2段32號,–,113/7/22,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5207,奇華股份有限公司中山分公司(奇華餅家中山總店),台北市中山區中山北路2段32號,杏仁餅,113/7/10,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5208,奇蛋生鮮蔬果行,新北市林口區文化三路一段435號1樓,大黃瓜,113/9/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5209,奇蛋生鮮蔬果行,新北市林口區文化三路一段435號,有機小芥菜,111/7/28,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5210,奇麟企業有限公司,新北市林口區文化二路1段277號,韭菜花,113/5/1,農藥(賜派芬),不合格,依食安法第47條裁處,60000,與同業者同日抽驗產品(白杏菜)同案辦理,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
5211,奇麟企業有限公司(網購平台),新北市林口區文化二路一段277號,青江菜,114/4/29,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5212,奇麟企業有限公司(網購平台),新北市林口區文化二路一段277號,香菜(芫荽),114/3/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5213,奇麟企業有限公司(網購平台),新北市林口區文化二路一段277號,水蓮,114/7/24,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5214,奇麟企業有限公司(網購平台),新北市林口區文化二路一段277號,紅蘿蔔,113/7/30,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5215,奇麟企業有限公司(網購平台),新北市林口區文化二路1段277號,韭菜花,113/6/4,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5216,奉鮮企業社,新北市樹林區大義路202號,去骨櫻桃鴨腿肉,112/4/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5217,奕瑪國際行銷股份有限公司,新北市新莊區五權一路9號7樓之3,巧趣多55%巧克力-慕夏名畫40g,111/3/29,苯(a)駢芘,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5218,奕瑪國際行銷股份有限公司營養生技廠,新北市新莊區福興里五權一路9號7樓之2,紅牛聰勁ID即溶乳清蛋白-輕金萱風味,114/7/16,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5219,奕瑪國際行銷股份有限公司營養生技廠,新北市新莊區福興里五權一路9號7樓之2,,114/8/18,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5220,奕瑪國際行銷股份有限公司營養生技廠,新北市新莊區福興里五權一路9號7樓之2,全脂乳粉,114/7/10,食品中微生物、黃麴毒素,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5221,奕瑪國際行銷股份有限公司營養生技廠,新北市新莊區福興里五權一路9號7樓之2,紅牛愛基均衡配方營養素,111/9/26,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5222,奕瑪國際行銷股份有限公司營養生技廠,新北市新莊區福興里五權㇐路9號7樓之2,-,111/9/26,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5223,奕芃手作甜點店,新北市板橋區民權路256號1樓,香草夾心巧克力(含餡),114/3/12,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5224,奕芃手作甜點店,新北市板橋區民權路256號1樓,-,114/3/28,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5225,奕芃手作甜點店,新北市板橋區民權路256號1樓,象牙海岸牛奶巧克力扣35.5%,112/3/16,總黃麴毒素,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5226,奕芃手作甜點店,新北市板橋區民權路256號1樓,茉莉覆盆子夾心巧克力(含餡),112/3/31,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5227,奶娃的店實業股份有限公司,臺北市松山區南京東路五段60號地下1樓、62號地下1樓、64號地下1樓,即食好粥到寶寶活力粥,110/10/1,重金屬,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5228,奶娃的店實業股份有限公司,臺北市松山區南京東路5段60號地下1樓、62號地下1樓、64號地下1樓,雀巢能恩1號嬰兒配方奶粉(創新配方),110/10/1,食品微生物,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5229,奶爸廚房商行,新北市五股區成泰路2段140號,-,110/2/19,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5230,奶與蜜冰店(覓糖),臺北市中山區興安街53之5號,芋圓,112/10/25,順丁烯二酸與順丁烯二酸酐總量,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5231,好來便當店,新北市板橋區四川路1段385號,鴨肉,114/3/11,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5232,好來便當店,新北市板橋區四川路1段385號,鴨肉,110/3/22,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5233,好初切水果股份有限公司,新北市新莊區新北大道七段852號,貓眼葡萄,114/6/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5234,好初水果有限公司(放心初蔬果網)(網購平台),新北市板橋區中山路一段279號,日本晴王麝香葡萄,111/9/20,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5235,好初水果股份有限公司,新北市中和區中山路二段351號,白花椰菜,113/10/21,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5236,好初水果股份有限公司,新北市中和區中山路351號,大黃瓜,112/10/24,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5237,好初水果股份有限公司新莊分公司,新北市新莊區新北大道7段852號,土耕菠菜,114/3/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5238,好初水果股份有限公司新莊分公司(市招:放心初-新莊迴龍門市),新北市新莊區新北大道七段852號,荷蘭豆,113/10/30,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5239,好友鵝肉切仔麵,新北市新店區建國路221號,鵝肉,111/2/11,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5240,好吃鐵板燒小吃店(皇佳鐵板燒),新北市板橋區民生路1段23號,-,112/11/30,GHP,合格,-,,,未明確標示,info,原始資料未提供有效法條資訊
5241,好吃鐵板燒小吃店(皇佳鐵板燒),新北市板橋區民生路1段23號,-,112/11/6,標示,合格,-,,,未明確標示,info,原始資料未提供有效法條資訊
5242,好吃雞肉飯,新北市三重區五華街78號1樓,雞胸肉,110/9/27,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5243,好味企業社,新北市新店區寶興路60巷40號,赤肉(豬肉),110/6/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5244,好味全市集股份有限公司花博門市部,臺北市中山區玉門街1號,一日米‧白米(台南11號),110/9/28,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5245,好品便當店,新北市板橋區文化路1段270巷1弄1號,香腸,113/7/12,保色劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
