專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
市售食品反式脂肪酸含量,20221021,人造奶油,"乳瑪琳440人造奶油
(有效日期：2023/8/25)",111,惠康百貨股份有限公司雨聲分公司(家樂福)/臺北市士林區雨聲街52號、52之1號、50巷1號,不符合規定,營養標示反式脂肪含量為「每份：0.06公克/每10公克（經換算為0.6公克/每100公克）」，惟檢出每100公克反式脂肪酸含量0.87公克，依據「包裝食品營養標示應遵行事項」，反式脂肪含量標示值誤差允許範圍為「小於或等於標示值之120%」（經換算為0.72公克/每100公克），案內產品應依實際數值標示。
市售食品反式脂肪酸含量,20221019,奶精,"日久奶精(非乳為主)
(有效日期：2022/10/27)",108,民祥餐飲店(巨林美而美民和店)/臺北市萬華區民和街2號1樓,不符合規定,未標示原產地（國）及「有效日期」字樣
蔬果,20221102,大漿果類,改良種百香果,114,無市招攤販-謝愛玉/臺北市內湖區康寧路1段33巷13號,不符合規定,"殺菌劑Procymidone 撲滅寧0.02ppm(標準：0.01ppm以下) 
殺蟲劑Cyromazine 賽滅淨0.12ppm(標準：不得檢出) "
蔬果,20221101,小葉菜類,芥藍菜(中),105,開泰豐國際股份有限公司(台北文華東方酒店)/臺北市松山區敦化北路158號,不符合規定,"殺菌劑Dimethomorph 達滅芬3.9ppm(標準：2.5ppm以下) 
殺蟲劑Profenophos 佈飛松3.8ppm(標準：1.0ppm以下) "
蔬果,20221101,根莖菜類,白蘿蔔SA3,103,蔬菜攤/臺北市大同區錦西街38巷18號前,不符合規定,"殺蟲劑Cypermethrin 賽滅寧0.02ppm(標準：0.01ppm以下) 
殺蟲劑Fipronil-sulfone芬普尼代謝物0.002ppm(標準：0.001ppm以下)"
蔬果,20221102,大漿果類,特選百香果,114,樂樂水果/臺北市內湖區成功路4段20巷6號,不符合規定,殺蟲劑Cyromazine 賽滅淨0.15ppm(標準：不得檢出) 
蔬果,20221102,瓜菜類,絲瓜,111,白毫素食天地/臺北市士林區天母西路13巷10號1樓,不符合規定,殺菌劑Tebuconazole 得克利0.09ppm(標準：0.01ppm以下) 
蔬果,20221101,小葉菜類,大陸妹,111,好鍋有限公司/臺北市士林區天母西路43號1樓/28743731,不符合規定,殺菌劑Propiconazole 普克利0.08ppm(標準：0.01ppm以下) 
蔬果,20221102,小葉菜類,茼蒿,105,無市招攤販-施O樺(承銷號：0615)/臺北市松山區南京東路5段291巷跟健康路400號之巷口,不符合規定,殺蟲劑Chlorpyrifos 陶斯松0.08ppm(標準：0.01ppm以下) 
蔬果,20221103,根莖菜類,水洗白蘿蔔,108,家福股份有限公司台北桂林分公司(家樂福桂林店)/臺北市萬華區桂林路1號1-4樓,不符合規定,殺蟲劑Fipronil 芬普尼0.001ppm、Fipronil-sulfone芬普尼代謝物0.004ppm(標準：0.001ppm以下) 
蔬果,20221102,包葉菜類,蘿美生菜-進口,111,好膳企業股份有限公司(MIOPANE)/臺北市士林區天母東路43巷3號,不符合規定,殺菌劑Propiconazole 普克利0.03ppm(標準：0.01ppm以下) 
蔬果,20221102,香辛植物及其他草木本植物,香菜,110,遠百企業股份有限公司忠孝分公司(愛買)/臺北市信義區忠孝東路5段297號地下1.2.3樓,不符合規定,殺蟲劑Chlorpyrifos陶斯松0.02ppm（標準：0.01ppm以下）
蔬果,20221104,小葉菜類,青江白菜,106,遠東都會股份有限公司復興店(city super復興店)/臺北市大安區忠孝東路3段300號B3,不符合規定,殺蟲劑Chlorfenapyr 克凡派1.2ppm(標準：1.0ppm以下) 
蔬果,20221103,乾豆類,良農綠豆(有效日期：20230801),108,家福股份有限公司台北桂林分公司(家樂福桂林店)/臺北市萬華區桂林路1號1-4樓,不符合規定,殺草劑Glyphosate嘉磷塞2.1ppm（標準：2.0ppm以下）
市售產品塑化劑含量,20221003,膠囊錠狀食品,碧苜素優視膠囊,112,佳祈健保藥局/臺北市北投區明德路144號,不符合規定,"DBP:1.4ppm
(指標值:0.6ppm)
"
市售產品塑化劑含量,20221007,油脂,苦茶油,100,惠康百貨股份有限公司(Mia C'bon 臺北寶慶店)/臺北市中正區寶慶路32號B1,不符合規定,"DEHP:6ppm
(指標值:3ppm)"
市售產品塑化劑含量,20221024,膠囊錠狀食品,【達摩本草】90% Omega-3 專利深海魚油膠囊,100,臺灣屈臣氏個人用品商店股份有限公司寧波分公司/臺北市中正區寧波西街46號1、2樓,不符合規定," DINP:24ppm
 (指標值:9ppm)"
年節食品,20221115,木耳,白木耳,114,旭日昇雜糧行/臺北市內湖區內湖路1段285巷65弄15號1樓,不符合規定,"殺蟲劑Methomyl納乃得0.08ppm（標準：不得檢出）
生長調節劑Chlormequat克美素0.29ppm（標準：不得檢出）"
年節食品,20221115,木耳,白木耳(有效日期：1140905)(原產地:中國),110,偉順蔘藥行/臺北市信義區吳興街202號1樓,不符合規定,"殺蟎劑Propargite毆蟎多0.07ppm（標準：不得檢出）
生長調節劑Chlormequat克美素0.26ppm（標準：不得檢出）
外包裝標示外包裝標示「通過SGS檢驗無農藥殘留」、「安心使用」等字樣"
年節食品,20221115,木耳,白木耳(調理用)(有效日期：20230821)(原產地:中國),111,全聯實業股份有限公司士林中正分公司(全聯福利中心)/臺北市士林區中正路115號1樓,不符合規定,生長調節劑Chlormequat 克美素0.37ppm(標準：不得檢出) 
年節食品,20221116,木耳,白大花級合格乾銀耳（DRIED JELLY FUNGI）（雪耳）（產地：中國）,108,合泰雜糧行/臺北市萬華區和平西路3段202號1樓,不符合規定,生長調節劑Chlormequat克美素0.31ppm（標準：不得檢出），另外箱標示「合格」字樣
年節食品,20221114,木耳,白木耳,106,宏德雜糧行/臺北市大安區安居街117號1樓,不符合規定,生長調節劑Chlormequat 克美素0.29ppm(標準：不得檢出) 
年節食品,20221115,木耳,白木耳(有效日期：20231011)（產地：中國）,111,全聯實業股份有限公司士林中正分公司(全聯福利中心)/臺北市士林區中正路115號1樓,不符合規定,生長調節劑Chlormequat 克美素0.26ppm(標準：不得檢出) 
年節食品,20221116,木耳,白木耳（產地：中國）,108,無市招業者/臺北市萬華區富民路145巷44號,不符合規定,生長調節劑Chlormequat 克美素0.18ppm(標準：不得檢出) 
年節食品,20221118,竹笙,竹笙,100,上海鄉村股份有限公司濟南分公司/臺北市中正區濟南路2段37號1樓及37之1號1樓,不符合規定,"殺蟲劑Dinotefuran達特南0.18ppm（標準：不得檢出）
殺菌劑Propiconazole普克利0.09ppm（標準：0.05ppm以下）"
年節食品,20221121,竹笙,特級竹笙(有效日期：20230720)（產地：中國）,114,京老滿餐飲股份有限公司(餡老滿)/臺北市內湖區成功路4段188號2樓,不符合規定,"殺蟲劑Fipronil芬普尼0.015ppm(標準:0.002ppm以下)
殺蟲劑Propoxur安丹2.70ppm(標準:0.05ppm以下)"
年節食品,20221121,竹笙,竹笙,114,麗庭莊園有限公司(88號樂章婚宴會館)/臺北市內湖區民善街88號5樓,不符合規定,殺蟲劑Fipronil 芬普尼0.042ppm(標準：0.002ppm以下) 
年節食品,20221118,竹笙,竹笙（產地：中國）,116,元忠商店/臺北市文山區集英街30號,不符合規定,重金屬鎘5mg/kg（標準：2mg/kg以下）
年節食品,20221118,竹笙,竹笙（有效日期：20231024）（產地：中國）,114,全向雜糧商行/臺北市內湖區五分街51號,不符合規定,重金屬鎘5mg/kg（標準：2mg/kg以下）
年節食品,20221121,脫水蔬果類,巴西蘑菇（有效日期：20231009）（產地：中國）,100,國裕開發股份有限公司（台北凱撤大飯店王朝餐廳)/臺北市中正區忠孝西路1段38號3樓,不符合規定,重金屬鎘18mg/kg（標準：2mg/kg以下）
年節食品,20221121,脫水蔬果類,巴西蘑菇,105,有哆創意蔬食洋食館有限公司(有哆創意蔬食洋食館)/臺北市松山區南京東路5段33號,不符合規定,重金屬鎘4mg/kg（標準：2mg/kg以下）
年節食品,20221125,豆乾類,黃日香沙茶豆乾（有效日期：20230209）,108,正祥食品行(黃日香股份有限公司)/臺北市萬華區中華路2段66號1樓/實際抽驗地為64號）,不符合規定,防腐劑己二烯酸2.4g/kg（標準：2.0g/kg以下）
年節食品,20221125,豆乾類,黃日香休閒片（有效日期：20230216）,108,正祥食品行(黃日香股份有限公司)/臺北市萬華區中華路2段66號1樓/實際抽驗地為64號）,不符合規定,防腐劑己二烯酸2.1g/kg（標準：2.0g/kg以下）
年節食品,20221118,脫水蔬果類,有機乾姬松茸（有效日期：20230810）,111,有限責任台灣主婦聯盟生活消費合作社/臺北市士林區福志路50號,不符合規定,檢出重金屬鉛及鎘分別為0.3mg/kg，惟外包裝標示「無重金屬殘留」字樣
醃製及脫水蔬果(含蜜餞),20221107,醃漬蔬果,"醃漬烏梨
(進貨日期2022/11/3)",115,菓之鄉水果專賣店/臺北市南港區同德路60號,不符合規定,"己二烯酸0.76 g/kg(標準：不得檢出)
醋磺內酯鉀0.09 g/kg(標準：不得檢出)
環己基(代)磺醯胺酸鹽0.58 g/kg(標準：不得檢出)
糖精0.08g/kg(標準：不得檢出)"
醃製及脫水蔬果(含蜜餞),20221108,醃漬蔬菜,"黃金酸白菜
(2023/4/28 )",112,元順商行 (小石鍋北投石牌店)/臺北市北投區石牌路1段166巷97號1樓,不符合規定,"二氧化硫0.09 g/kg(漂白劑標準：0.030 g/kg以下)
標示添加物：偏亞硫酸鈉(抗氧化劑)(標準：不得檢出) "
醃製及脫水蔬果(含蜜餞),20221110,醃漬蔬菜,"酸菜
(2023/9/8 )",104,臺北市第二果菜批發市場第18-16攤葉爾旺(蔬菜承銷人2154)/臺北市中山區民族東路336號,不符合規定,"苯甲酸1.33g/kg(標準：0.6 g/kg)
二氧化硫0.06g/kg(標準：0.030 g/kg以下) "
醃製及脫水蔬果(含蜜餞),20221110,醃漬蔬菜,"酸菜葉
(進貨日期2022/10/31)",104,臺北市第二果菜批發市場第18-16攤葉爾旺(蔬菜承銷人2154)/臺北市中山區民族東路336號,不符合規定,"苯甲酸1.17 g/kg(標準：0.6 g/kg)
二氧化硫0.48 g/kg(標準：0.030 g/kg以下) "
醃製及脫水蔬果(含蜜餞),20221107,蜜餞食品(脫水水果),"碳燻清甘化應子
(2023/8/2)",115,巧群企業有限公司/臺北市南港區永吉路601號,不符合規定,"1.檢出蔗糖素0.58 g/kg，內容
   物未標示。
2.內容物標示「糖精鈉鹽」及
  「環己基(代)磺醯胺酸鈉」
   ，檢驗結果未檢出。"
醃製及脫水蔬果(含蜜餞),20221110,醃漬蔬菜,"牛角泡菜
(2022/12/2 )",104,台灣瑞滋國際股份有限公司(牛角次男坊誠品南西店)/臺北市中山區南京西路14號B1,不符合規定,"1.未有內容物名稱、食品添加
  物名稱、原產地（國）、製
 造廠商或國內負責廠商名稱
 、電話號碼及地址、營養標
 示。
2.同時標示最佳賞味期及有效
   期限。"
肉加工品、農產加工品攙偽假冒鑑別,20221115,羊肉,"法式肩羊排
(進貨日期2022/11/12)",111,大王軍糰早午餐店(Jans Arabian Bistro 中東人的私房菜)/臺北市士林區忠義街117-3號1樓,不符合規定,未有中文標示
肉加工品、農產加工品攙偽假冒鑑別,20221121,牛肉,"帶筋牛肉丸
(未標示有效日期)",104,黎凡特國際企業行/臺北市中山區遼寧街209巷25號,不符合規定,"1.產品無完整中文標示
2.動物性成分檢出牛雞成分，惟僅標示牛成分"
肉加工品、農產加工品攙偽假冒鑑別,20221121,雞肉,"雞肉水餃
(未標示有效日期)",104,黎凡特國際企業行/臺北市中山區遼寧街209巷25號,不符合規定,產品無完整中文標示
素摻葷,20221207,"無標示
全素或純素",大豆調理製品 干貝柱,112,阿玉素食(B136北投阿玉素食)/臺北市北投區磺港路33號(北投中繼市場),不符合規定,檢出動物性成分陽性(魚)
